№,Область/город/район/сельский округ/село,Наименование организации,"Балансодержатель автомобиля (балансодержатель/
фактический пользователь/
форма владения:
баланс,
аренда,
лизинг,
доверительное управление)","Правоустанавливающие документы №/дата
(приказы закрепления, 
акты приема-передачи,
договоры, технический паспорт ТС аренды/лизинга)",Фактический пользователь,"По использованию
(закрепленное должностное лицо/
наличие водителя) Ф.И.О. и должность",Имеется ли приказ закрепления №/дата,Марка/модель/ год выпуска,ГРНЗГосударственныйрегистрационныйномернойзнак,Примечание
223,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",BC99999639,Вет.отдел Кегенского района. с/о Саты,Д.Бегимбетов,,LADA-21214 2013г.в.,628BF05,
224,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",Техпаспорт дата и номер,Вет.отдел Кегенского района. с/о Ұзынбұлақ,,,LADA-21214 2013г.в.,213BF05,на списание
225,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",Техпаспорт дата и номер,Вет.отдел Кегенского района. с/о Шырғанақ,,,LADA-21214 2013г.в.,195BF05,на списание
226,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГУ ""Управление ветеринарии Алматинской области""","Договор №6 от 03.02.2026г,BC99998588",Вет.отдел Кегенского района. с/о Алғабас,Д.Сыдыбаев,,Jac T6 Luxury 2.0 Ti 4x4 Ақ 2025г.в.,247BC05,
227,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГУ ""Управление ветеринарии Алматинской области""","Договор №6 от 03.02.2026г,BC99998594",Вет.отдел Кегенского района. с/о Жалағаш,Б.Масенов,,Jac T6 Luxury 2.0 Ti 4x4 Ақ 2025г.в.,382BC05,
228,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГУ ""Управление ветеринарии Алматинской области""","Договор №6 от 03.02.2026г, BC99998589",Вет.отдел Кегенского района. с/о Жылысай,Д.Масенов,,Jac T6 Luxury 2.0 Ti 4x4 Ақ 2025г.в.,137BC05,
229,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГУ ""Управление ветеринарии Алматинской области""","Договор №6 от 03.02.2026г,BC99998619",Вет.отдел Кегенского района. с/о Қарқара,М.Ерсариев,,Газ 231073 Ақ 2025г.в.,094BH05,
230,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГУ ""Управление ветеринарии Алматинской области""","Договор №6 от 03.02.2026г,BC99998585",Вет.отдел Кегенского района. с/о Тасашы,Қ.Миятбек,,Jac T6 Luxury 2.0 Ti 4x4 Ақ 2025г.в.,273BC05,
231,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГУ ""Управление ветеринарии Алматинской области""","Договор №6 от 03.02.2026г, BC99998556",Вет.отдел Кегенского района. с/о Ұзынбұлақ,Е.Арипбаев,,Jac T6 Luxury 2.0 Ti 4x4 Ақ 2025г.в.,397BC05,
232,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГУ ""Управление ветеринарии Алматинской области""","Договор №6 от 03.02.2026г, BC99998609",Вет.отдел Кегенского района. с/о Шырғанақ,К.Ердесбаев,,Jac T6 Luxury 2.0 Ti 4x4 Ақ 2025г.в.,471BC05,
233,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",15.05.2024  VL07528133,Вет.отдел Райымбекского района.,Берікбай Айбек бөлім басшысы,,Chevrolet Trecker 2018г.в.,393BF05,на списание
234,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",Техпаспорт дата и номер,Вет.отдел Райымбекского района.,,,Lada 21214 2014г.в.,376BF05,на списание
235,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",16.05.2024  VL07528157,Вет.отдел Райымбекского района.,Әділжан Ислам вет санитар,,УАЗ(ДУК) 2018г.в.,391BF05,
236,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",Техпаспорт дата и номер,Вет.отдел Райымбекского района.,,,Uaz Pickup 2018г.в.,397BF05,на списание
237,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",Техпаспорт дата и номер,Вет.отдел Райымбекского района.,,,Уаз  Хантер 2016г.в.,379BF05,на списание
238,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",12.12.2024 и VL08777861,Вет.отдел Райымбекского района.,Айтбаев Айбек вет дәрігер,,УАЗ(ДУК) 2013г.в.,972BF05,
239,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",Техпаспорт дата и номер,Вет.отдел Райымбекского района. с/о Жамбыл,,,Lada 21214 2013г.в.,388BF05,на списание
240,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",15.05.2024  VL07528122,Вет.отдел Райымбекского района. с/о Қайнар,Дүйсенұлы Абай вет дәрігер,,Lada 21214 2013г.в.,406BF05,
241,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",16.05.2024 VL07528170,Вет.отдел Райымбекского района. с/о Қақпақ,Кемелжан Бектен вет дәрігер,,Lada 21214 2013г.в.,366BF05,
242,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",16.05.2024 VL07528161,Вет.отдел Райымбекского района. с/о Қарасаз,Тәліп Санжар вет дәрігер,,Lada 21214 2013г.в.,361BF05,
243,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",Техпаспорт дата и номер,Вет.отдел Райымбекского района. с/о Нарынқол,,,Lada 21214 2012г.в.,794BF05,на списание
244,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",Техпаспорт дата и номер,Вет.отдел Райымбекского района. с/о Сарыжаз,,,Lada 21214 2013г.в.,375BF05,на списание
245,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",Техпаспорт дата и номер,Вет.отдел Райымбекского района. с/о Сүмбе,,,Lada 21214 2013г.в.,381BF05,на списание
246,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",Техпаспорт дата и номер,Вет.отдел Райымбекского района. с/о Тегістік,,,Lada 21214 2013г.в.,386BF05,на списание
247,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",16.05.2024  VL07528153,Вет.отдел Райымбекского района. с/о Текес,Бөбекбаев Талғат вет санитар,,Lada 21214 2013г.в.,407BF05,
248,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",Техпаспорт дата и номер,Вет.отдел Райымбекского района. с/о Ұзақ батыр,,,Lada 21214 2013г.в.,357BF05,на списание
249,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",Техпаспорт дата и номер,Вет.отдел Райымбекского района. с/о Ұзақ батыр,,,Lada 21214 2013г.в.,792BF05,на списание
250,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",16.05.2024  VL07528155,Вет.отдел Райымбекского района. с/о Шәлкөде,Оразақынов Еркебұлан вет дәрігер,,Lada 21214 2013г.в.,405BF05,
251,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",04.07.2025  VL10488538,Вет.отдел Райымбекского района. с/о Шәлкөде,Оразақынов Еркебұлан вет дәрігер,,LADA 21215 2025г.в.,024BF05,
252,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГУ ""Управление ветеринарии Алматинской области""","Договор №6 от 03.02.2026г,17.12.2024  VL11287249",Вет.отдел Райымбекского района.,Берікбай Айбек бөлім басшысы,,Jac T6 Luxury 2.0 Ti 4x4 Ақ 2025г.в.,366BC05,
253,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГУ ""Управление ветеринарии Алматинской области""","Договор №6 от 03.02.2026г,18.12.2025  VL11287416",Вет.отдел Райымбекского района. Отлов,Айтбаев Айбек вет дәрігер,,Газ 231073 Ақ 2025г.в.,145BH05,
254,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГУ ""Управление ветеринарии Алматинской области""","Договор №6 от 03.02.2026г,15.12.2025  VL11287149",Вет.отдел Райымбекского района. с/о Нарынқол,Берік Арлен вет дәрігер,,Jac T6 Luxury 2.0 Ti 4x4 Ақ 2025г.в.,283BC05,
255,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГУ ""Управление ветеринарии Алматинской области""","Договор №6 от 03.02.2026г,15.12.2025  VL11287078",Вет.отдел Райымбекского района. с/о Жамбыл,Жұмабаев Ұлан вет дәрігер,,Jac T6 Luxury 2.0 Ti 4x4 Ақ 2025г.в.,342BC05,
256,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГУ ""Управление ветеринарии Алматинской области""","Договор №6 от 03.02.2026г,15.12.2025  VL11287129",Вет.отдел Райымбекского района. с/о Ұзақ батыр,Құныпияев Сенім вет дәрігер,,Jac T6 Luxury 2.0 Ti 4x4 Ақ 2025г.в.,358BC05,
257,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГУ ""Управление ветеринарии Алматинской области""","Договор №6 от 03.02.2026г,15.12.2025  VL11287100",Вет.отдел Райымбекского района. с/о Сарыжаз,Совед Бағдат вет дәрігер,,Jac T6 Luxury 2.0 Ti 4x4 Ақ 2025г.в.,259BC05,
258,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГУ ""Управление ветеринарии Алматинской области""","Договор №6 от 03.02.2026г,15.12.2025  VL11287085",Вет.отдел Райымбекского района. с/о Сүмбе,Карбозов Бектұрсын вет дәрігер,,Jac T6 Luxury 2.0 Ti 4x4 Ақ,136BC05,
259,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",09.07.2024    ВС99999509,Вет.отдел Уйгурского района.,"Нач. отд.
Досымбеков Е",,JAC 2023г.в.,686BF05,
260,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",15.04.2024   ВС99999769,Вет.отдел Уйгурского района.,эпизоот врач Намангенов А,,SSANG YONG 2013г.в.,174BF05,
261,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",Техпаспорт дата и номер,Вет.отдел Уйгурского района.,,,Lada 21214 2007г.в.,209BF05,на списание
262,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",15.04.2024    ВС99999772,Вет.отдел Уйгурского района.,Әлібеков Е,,УАЗ 390945(ДУК) 2013г.в.,170BF05,
263,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",15.04.2024    ВС99999770,Вет.отдел Уйгурского района. с/о Шарын,ветфельдшер Нурдаулетов Е,,Lada 21214 2013г.в.,199BF05,
264,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",Техпаспорт дата и номер,Вет.отдел Уйгурского района. с/о Тасқарасу,,,Lada 21214 2013г.в.,183BF05,на списание
265,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",15.04.2024   ВС99999766,Вет.отдел Уйгурского района. с/о Бахар,ветфельдшер Дулатов Р,,Lada 21214 2014г.в.,176BF05,
266,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",13.05.2024   ВС99999695,Вет.отдел Уйгурского района. с/о Шонжы,зав вет пункта Тахтарбаев К,,Lada 21214 2013г.в.,380BF05,
267,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",Техпаспорт дата и номер,Вет.отдел Уйгурского района. с/о Шонжы,,,Lada 21214 2007г.в.,401BF05,на списание
268,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",15.05.2024    ВС99999680,Вет.отдел Уйгурского района. с/о Сүмбе,ветфельдшер Чалабаев М,,Lada 21214 2014г.в.,369BF05,
269,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",13.05.2024   ВС99999697,Вет.отдел Уйгурского района. с/о Қырғызсай,зав вет пункта Азнабакиев К,,Lada 21214 2013г.в.,377BF05,
270,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",13.05.2024   ВС99999698,Вет.отдел Уйгурского района. с/о Улкен Ақсу,ветфельдшер Арзыкулов К,,Lada 21214 2013г.в.,399BF05,
271,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",04.07.2025   ВС99999156,Вет.отдел Уйгурского района. с/о Улкен Ақсу,зав вет пункта Турсунов Ш,,LADA 21215 2025г.в.,994BH05,
272,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",Техпаспорт дата и номер,Вет.отдел Уйгурского района. с/о Кіші Ақсу,,,Lada 21214 2007г.в.,403BF05,на списание
273,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",13.05.2024   ВС99999699,Вет.отдел Уйгурского района. с/о Ават,зав вет пункта Усенов А,,Lada 21214 2013г.в.,374BF05,
274,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",13.05.2024   ВС99999694,Вет.отдел Уйгурского района. с/о Тиірмен,Есенбаев А,,Lada 21214 2013г.в.,371BF05,
275,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",13.05.2024    ВС99999698,Вет.отдел Уйгурского района. с/о Ақтам,зав вет пункта Маратов Н,,Lada 21214 2013г.в.,384BF05,
276,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",13.05.2024    ВС99999686,Вет.отдел Уйгурского района. с/о Дардамты,зав вет пункта Жумадилов Е,,Lada 21214 2013г.в.,378BF05,
277,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",Техпаспорт дата и номер,Вет.отдел Уйгурского района. с/о Cұңқар,,,Lada 21214 2007г.в.,392BF05,на списание
278,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",Техпаспорт дата и номер,Вет.отдел Уйгурского района. с/о Кетпен,,,Lada 21214 2014г.в.,372BF05,на списание
279,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",15.04.2024    ВС99999768,Вет.отдел Уйгурского района. с/о Кіші Дихан,зав вет пункта Махпиров Е,,Lada 21214 2013г.в.,166BF05,
280,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",Техпаспорт дата и номер,Вет.отдел Уйгурского района. с/о Үлкен Дихан,,,Lada 21214 2007г.в.,211BF05,на списание
281,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",13.05.2024    ВС99999682,Вет.отдел Уйгурского района. с/о Қалжат,ветфельдшер Валиев Р,,Lada 21214 2013г.в.,368BF05,
282,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГУ ""Управление ветеринарии Алматинской области""","Договор №6 от 03.02.2026г,18.12.2025   ВС99998549",Вет.отдел Уйгурского района.,Әлібеков Е,,Газ 231073 Ақ 2025г.в.,303BH05,
283,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГУ ""Управление ветеринарии Алматинской области""","Договор №6 от 03.02.2026г,17.12.2025   ВС99998570",Вет.отдел Уйгурского района. с/о Шарын,ветфельдшер Камунаров Д,,Jac T6 Luxury 2.0 Ti 4x4 Ақ 2025г.в.,449BC05,
284,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГУ ""Управление ветеринарии Алматинской области""","Договор №6 от 03.02.2026г,17.12.2025   ВС99998561",Вет.отдел Уйгурского района. с/о Тасқарасу,зав вет пункта Султанкулов О,,Jac T6 Luxury 2.0 Ti 4x4 Ақ 2025г.в.,438BC05,
285,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГУ ""Управление ветеринарии Алматинской области""","Договор №6 от 03.02.2026г,17.12.2025  ВС99998563",Вет.отдел Уйгурского района. с/о Сумбе,зав вет пункта Жақсыбек А,,Jac T6 Luxury 2.0 Ti 4x4 Ақ 2025г.в.,164BC05,
286,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГУ ""Управление ветеринарии Алматинской области""","Договор №6 от 03.02.2026г,17.12.2025  ВС99998581",Вет.отдел Уйгурского района. с/о Диірмен,зав вет пункта Кибиров Н,,Jac T6 Luxury 2.0 Ti 4x4 Ақ 2025г.в.,085BC05,
287,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГУ ""Управление ветеринарии Алматинской области""","Договор №6 от 03.02.2026г,17.12.2025  ВС99998597",Вет.отдел Уйгурского района. с/о Кетпен,ветфельдшер Кожагулов Б,,Jac T6 Luxury 2.0 Ti 4x4 Ақ 2025г.в.,856BC05,
288,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГУ ""Управление ветеринарии Алматинской области""","Договор №6 от 03.02.2026г,17.12.2025  ВС99998623",Вет.отдел Уйгурского района. с/о Қалжат,зав вет пункта Таиров Р,,Jac T6 Luxury 2.0 Ti 4x4 Ақ 2025г.в.,469BC05,
289,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""","MX1X6AGBXRK752622, 11.07.2024",Вет.отдел г.Конаев,руководитель Сарсенғали Д.С,,JAC 2023г.в.,689BF05,
290,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",Техпаспорт дата и номер,Вет.отдел г.Конаев,списание,,Lada 21214 2013г.в.,364AR05,списание
291,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""","XTA212140D2136754, 18.04.2024",Вет.отдел г.Конаев с/о Шенгелды,Вет.врач Аязбаев М.Е,,Lada 21214 2013г.в.,644AB05,
292,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",Техпаспорт дата и номер,Вет.отдел г.Конаев с/о Шенгелды,списание,,Lada 21214 2013г.в.,908AT05,на списание
293,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""","MXT231073R0000285, 12/08/2025",Вет.отдел г.Конаев с/о Шенгелды,Вет.санитар Күмісбеков І.Т,,Соболь 2025г.в.,992BG05,
294,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""","XTA212140S2578017, 08.07.2025",Вет.отдел г.Конаев с/о Шенгелды,Заведующий Серекбаев М.М,,Lada 21214 2025г.в.,275BI05,
295,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""","KPACA1E6SDP177040, 18.04.2024",Вет.отдел г.Конаев Отлов,Вет.фельдшер Нұрмолда Ж.С,,SSANG YONG 2013г.в.,266AS05,
296,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",Техпаспорт дата и номер,Вет.отдел г.Конаев,списание,,Lada 21214 2013г.в.,758ВА05,на списание
297,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",Техпаспорт дата и номер,Вет.отдел г.Конаев,списание,,Газ(Валдай) 2014г.в.,853AN05,на списание
298,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГУ ""Управление ветеринарии Алматинской области""","Договор №6 от 03.02.2026г,МХС1РАВ80SK053759, 17.12.2025",Вет.отдел г.Конаев,Вет.санитар Күмісбеков І.Т,,Jac T6 Luxury 2.0 Ti 4x4 Ақ 2025г.в.,053ВС05,
299,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",ВС99999505  09.07.2024ж,Вет.отдел г.Алатау,рук вет отдела Тайбагаров Т,,Mitsubishi L200 2023г.в.,715BF05,
300,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",Техпаспорт дата и номер,Вет.отдел г.Алатау,,,SSANG YONG 2013г.в.,609BF05,на списание
301,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",Техпаспорт дата и номер,Вет.отдел г.Алатау,,,Lada 21214 2013г.в.,745BС05,на списание
302,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГКП на ПХВ ""Ветеринарная станция Алматинской области""",ВС99998852 14.10.2025ж,Вет.отдел г.Алатау,отлов Алдакенов Ф,,Газель 2025г.в.,648BН05,
303,Алматинская область,"ГКП на ПХВ ""Ветеринарная станция Алматинской области""","ГУ ""Управление ветеринарии Алматинской области""","Договор №6 от 03.02.2026г,ВС99998620 12.12.2025ж",Вет.отдел г.Алатау,зав вет пункта Нурымбетов Ж,,Jac T6 Luxury 2.0 Ti 4x4 Ақ 2025г.в.,823BG05,
Подведомственные организации в сфере Культуры,,,,,,,,,,
1,"Алматинская область, Талгарский район, с Туздыбастау",ГККП Алатау әуендері,Баланс ГККП Алатау әуендері,тех.паспорт №BW00009583,ГККП Алатау әуендері,Мәкежан. Б,№-14/1-н/қ от 06.02.2026,Kia Rio 2021 г.в,512ST05,
2,"Алматинская область, Талгарский район, с Туздыбастау",ГККП Алатау әуендері,Баланс ГККП Алатау әуендері,тех.паспорт №BW00004661,ГККП Алатау әуендері,Умбетов А.,№6-н/қ от 05.01.2026,Golden Dragon,676AY05,
3,"Алматинская область, Талгарский район, с Туздыбастау",ГККП Алатау әуендері,Баланс ГККП Алатау әуендері,тех.паспорт №AR99886685,ГККП Алатау әуендері,Умбетов А.,№6-н/қ от 05.01.2026,Foton Toano,076BF05,
4,"Алматинская обл., Карасайский р-н, с. Шамалган, ул. Жібек Жолы, зд. 59","КГУ ""Историко-культурный центр «Атамекен» Первого Президента Республики Казахстан""","КГУ ""Историко-культурный центр «Атамекен» Первого Президента Республики Казахстан""",тех.паспорт №BW00005697,"КГУ ""Историко-культурный центр «Атамекен» Первого Президента Республики Казахстан""",Мотынов С.Г.,нет,LADA XR,AS43005,
5,"Алматинская область ,Карасайский район,село Алмалыбак, ул.Шегебаева 21А Умтылский сельский округ","КГУ ""Государственный архив Алматинской области ""","КГУ ""Государственный архив Алматинской области",технический паспорт ТС        JACS3-ВВ80150,"КГУ ""Государственный архив Алматинской области ""","Каиров С., Салимбаев Э",,JAC/S-3,720AW05,
6,"Алматинская область ,Карасайский район,село Алмалыбак, ул.Шегебаева 21А Умтылский сельский округ","КГУ ""Государственный архив Алматинской области ""","КГУ ""Государственный архив Алматинской области",Газель пассажирский-АР99993924,"КГУ ""Государственный архив Алматинской области ""","Каиров С., Салимбаев Э",,ГазЕЛь пассажирский,272AZ05,
7,"Алматинская область ,Карасайский район,село Алмалыбак, ул.Шегебаева 21А Умтылский сельский округ","КГУ ""Государственный архив Алматинской области ""","КГУ ""Государственный архив Алматинской области",Газель грузовая- АР00069797,"КГУ ""Государственный архив Алматинской области ""","Каиров С., Салимбаев Э",нет,ГазЕль грузовая,167AJ05,
8,"г. Алматы, ул. С. Татибекова, дом 27","КГУ ""Алматинская областная центральная универсальная библиотека""","КГУ ""Алматинская областная центральная универсальная библиотека""",тех.паспорт №BW00010781,"КГУ ""Алматинская областная центральная универсальная библиотека""",Бегалы Алмас Тінәліұлы,нет,CHEVROLET COBALT-2022,438ST05,
9,"г. Алматы, ул. С. Татибекова, дом 27","КГУ ""Алматинская областная центральная универсальная библиотека""","КГУ ""Алматинская областная центральная универсальная библиотека""",№AL99995949,"КГУ ""Алматинская областная центральная универсальная библиотека""",Бегалы Алмас Тінәліұлы,нет,CHANGAN ALSVIN-2024,314FB02,
10,"г. Алматы, ул. С. Татибекова, дом 27","КГУ ""Алматинская областная центральная универсальная библиотека""","КГУ ""Алматинская областная центральная универсальная библиотека""",№AR99998868,"КГУ ""Алматинская областная центральная универсальная библиотека""",Бегалы Алмас Тінәліұлы,нет,ГАЗ GAZELLE NEXT-2024 г.,270EX02,
11,"Алматинская область, Жамбылский район, село музей Жамбыл",ГККП Литературно мемориальный музей имени Ж.Жабаева,ГККП Литературно мемориальный музей имени Ж.Жабаева,тех.паспорт №BW00010712,ГККП Литературно мемориальный музей имени Ж.Жабаева,Сарсенбеков Магрупхан,приказ 147а-ж/к от 30.11.2023г,«Лада 21703/138-31» 2014г,034ST05,
12,"Алматинская область, г. Конаев, 1-й микрорайон, здание 28А",ГККП Объединение Музеев Алматинской Области,ГККП Объединение Музеев Алматинской Области,№BC99999655,ГККП Объединение Музеев Алматинской Области,1)директор-Мусабаев М.Б. 2.Сабиров 3. Муса  4.Узакбаев 5.Баттал А,нет,Шевроле Кобальт г.в.2022,362BF05,
